Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41431983,So Much Longing in So Little Space: The Art of Edvard Munch,Karl Ove Knausgård,"Knausgård, Karl Ove",Karl Ove Knausgaard,"=""0525504907""","=""9780525504900""",0,3.95,Penguin Books,Kindle Edition,252,2019,2017,,2026/02/21,to-read,to-read (#398),to-read,,,,0,0
59575939,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,"Yong, Ed",,"=""""","=""""",0,4.46,Random House,Hardcover,464,2022,2022,,2026/02/19,to-read,to-read (#397),to-read,,,,0,0
11877115,Canto General,Pablo Neruda,"Neruda, Pablo","Bart Vonck, Willy Spillebeen, Mark Braet","=""9067660302""","=""9789067660303""",0,4.20,Maarten Muntinga,Paperback,639,1984,1950,,2026/02/13,to-read,to-read (#396),to-read,,,,0,0
220161381,"Empire of the Elite: Inside Condé Nast, the Media Dynasty That Reshaped America",Michael Grynbaum,"Grynbaum, Michael",,"=""1668003910""","=""9781668003916""",0,4.03,Simon & Schuster,Hardcover,368,2025,,,2026/02/13,to-read,to-read (#395),to-read,,,,0,0
63031,By Night in Chile,Roberto Bolaño,"Bolaño, Roberto",Chris    Andrews,"=""""","=""""",0,3.90,New Directions,Paperback,118,2011,2000,,2026/02/09,to-read,to-read (#394),to-read,,,,0,0
63032,2666,Roberto Bolaño,"Bolaño, Roberto",,"=""843396867X""","=""9788433968678""",0,4.22,Anagrama,Paperback,1128,2004,2004,,2026/02/09,to-read,to-read (#393),to-read,,,,0,0
63033,The Savage Detectives,Roberto Bolaño,"Bolaño, Roberto",Natasha Wimmer,"=""0374191484""","=""9780374191481""",5,4.18,"Farrar, Straus and Giroux",Hardcover,577,2007,1998,,2026/01/21,,,read,I didn't know you could do that with a book; I don't think I've ever seen that done.<br/><br/>The polyphony! The characters constructed through negative space! What a privilege to fall under this book's spell.<br/><br/>I suspect I'll be thinking about this for quite a while,,,1,0
29124,Mistress Masham's Repose,T.H. White,"White, T.H.",Fritz Eichenberg,"=""1590171039""","=""9781590171035""",0,3.95,New York Review Children's Collection,Hardcover,260,2012,1946,,2026/02/09,to-read,to-read (#392),to-read,,,,0,0
14662,The Red and the Black,Stendhal,"Stendhal, Stendhal",Roger Gard,"=""0140447644""","=""9780140447644""",0,3.86,Penguin Classics,Paperback,577,2002,1830,,2026/02/05,to-read,to-read (#391),to-read,,,,0,0
23213841,Why Poetry,Matthew Zapruder,"Zapruder, Matthew",,"=""0062343092""","=""9780062343093""",0,4.16,Ecco,Kindle Edition,256,2017,2017,,2026/02/03,to-read,to-read (#390),to-read,,,,0,0
