Date,Name,Year,Letterboxd URI,Rating
2020-07-25,Perfect Blue,1997,https://boxd.it/1W7A,4.5
2020-07-25,Do the Right Thing,1989,https://boxd.it/29gA,4.5
2020-07-25,Knives Out,2019,https://boxd.it/jWEA,4.5
2020-07-25,Casino,1995,https://boxd.it/2ads,4
2020-07-25,Nocturnal Animals,2016,https://boxd.it/bkFu,4.5
2020-07-25,Akira,1988,https://boxd.it/2b1i,4.5
2020-07-28,F for Fake,1973,https://boxd.it/VxA,4.5
2020-07-28,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2020-07-28,Jodorowsky's Dune,2013,https://boxd.it/5MP6,4.5
2020-08-29,Under the Silver Lake,2018,https://boxd.it/dSAs,4
2021-01-30,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2021-02-01,Promising Young Woman,2020,https://boxd.it/loRE,4.5
2021-06-08,She's Gotta Have It,1986,https://boxd.it/1quC,4
2021-07-08,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
2021-08-24,"Spring, Summer, Fall, Winter... and Spring",2003,https://boxd.it/2b6W,4.5
2021-08-30,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu,5
2021-09-29,Donnie Brasco,1997,https://boxd.it/1YRA,4.5
2021-10-29,Dune,2021,https://boxd.it/fA7G,4.5
2021-11-28,Soul,2020,https://boxd.it/ioLA,3.5
2021-12-09,Sunset Boulevard,1950,https://boxd.it/2a20,4.5
2021-12-20,West Side Story,2021,https://boxd.it/iwt0,3.5
2022-01-31,Nightmare Alley,2021,https://boxd.it/m0HC,3.5
2022-02-10,The Lighthouse,2019,https://boxd.it/icFU,4.5
2022-02-18,Licorice Pizza,2021,https://boxd.it/qTKY,4
2022-03-15,Enron: The Smartest Guys in the Room,2005,https://boxd.it/1R0k,3.5
2022-03-27,The Batman,2022,https://boxd.it/eDGs,4
2022-04-25,North by Northwest,1959,https://boxd.it/2aRM,4
2022-05-04,Key Largo,1948,https://boxd.it/1UQS,4
2022-05-08,Burning,2018,https://boxd.it/hHUa,3
2022-05-09,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,2.5
2022-05-17,American Gangster,2007,https://boxd.it/23wi,4.5
2022-06-06,You Go To My Head,2017,https://boxd.it/ipN8,2.5
2022-06-25,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2022-07-06,Singin' in the Rain,1952,https://boxd.it/29oY,4.5
2022-07-18,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2022-07-24,The Northman,2022,https://boxd.it/nK2s,3.5
2022-08-07,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-08-08,Elvis,2022,https://boxd.it/mK4w,2
2022-08-14,The Master,2012,https://boxd.it/2cBG,3.5
2022-08-20,The Lost Daughter,2021,https://boxd.it/kgww,3.5
2022-08-20,C'mon C'mon,2021,https://boxd.it/nrI0,4.5
2022-08-29,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,3.5
2022-08-29,Erin Brockovich,2000,https://boxd.it/2al2,3.5
2022-10-04,Shiva Baby,2020,https://boxd.it/oIv0,3
2022-10-25,Scarface,1983,https://boxd.it/2b7g,4.5
2022-10-31,Collateral,2004,https://boxd.it/28F0,3.5
